1.24.1.44,"-16.4463585500010 -71.5972206080437",1.24.1-3
1.24.1.45,"-16.4463735992848 -71.5971219202184",1.24.1-3
1.24.1.46,"-16.4463916016685 -71.5969849638193",1.24.1-3
1.24.1.47,"-16.4464038564298 -71.5968497182018",1.24.1-3
1.24.1.48,"-16.4464405219689 -71.5966976266383",1.24.1-3
1.24.1.49,"-16.4462827589863 -71.5966482108180",1.24.1-3
1.24.1.50,"-16.4465497184221 -71.5963802038387",1.24.1-3
1.24.1.51,"-16.4465507770815 -71.5962522403676",1.24.1-3
1.24.1.52,"-16.4465488778724 -71.5976611994075",1.24.1-4
1.24.1.53,"-16.4465498218349 -71.5974628445210",1.24.1-4
1.24.1.54,"-16.4465542598367 -71.5973658793454",1.24.1-4
1.24.1.55,"-16.4465697975206 -71.5972720450967",1.24.1-4
1.24.1.56,"-16.4466053010879 -71.5971874004204",1.24.1-4
1.24.1.57,"-16.4466203020861 -71.5971005707227",1.24.1-4
1.24.1.58,"-16.4466258168277 -71.5970461521509",1.24.1-4
1.24.1.59,"-16.4466202792959 -71.5969621355152",1.24.1-4
1.24.1.60,"-16.4467430614400 -71.5965436034506",1.24.1-4
1.24.1.61,"-16.4467613171702 -71.5964401643724",1.24.1-4
1.24.1.62,"-16.4468075912490 -71.5963570876839",1.24.1-4
1.24.1.63,"-16.4468442148715 -71.5960521910708",1.24.1-4
1.24.1.64,"-16.4468843914133 -71.5959612330525",1.24.1-4
1.24.1.65,"-16.4469095814394 -71.5958553835000",1.24.1-4
1.24.1.66,"-16.4469402419466 -71.5955276932458",1.24.1-4
1.24.1.67,"-16.4469646384890 -71.5954560728104",1.24.1-4
1.24.1.68,"-16.4469841144561 -71.5953746341878",1.24.1-4
1.24.1.69,"-16.4470175345615 -71.5953080294344",1.24.1-4
1.24.1.70,"-16.4470121423723 -71.5952057462683",1.24.1-4
1.24.1.71,"-16.4470115998666 -71.5951317409727",1.24.1-4
1.24.1.72,"-16.4470229588689 -71.5950787037600",1.24.1-4
1.24.1.73,"-16.4470348116743 -71.5949813773410",1.24.1-4
1.24.1.74,"-16.4470476126372 -71.5949136213129",1.24.1-4
1.24.1.75,"-16.4470635438947 -71.5948428281950",1.24.1-4
1.24.1.76,"-16.4470627160918 -71.5947431922591",1.24.1-4
1.24.1.77,"-16.4470765765521 -71.5946613989044",1.24.1-4
1.24.1.78,"-16.4470977424378 -71.5945854852596",1.24.1-4
1.24.1.79,"-16.4471282758139 -71.5945088179880",1.24.1-4
1.24.1.80,"-16.4471355976394 -71.5944348927858",1.24.1-4
1.24.1.81,"-16.4471533217303 -71.5943600759130",1.24.1-4
1.24.1.82,"-16.4471805803173 -71.5942021699290",1.24.1-4
1.24.1.83,"-16.4472188451713 -71.5940787501477",1.24.1-4
1.24.1.84,"-16.4472366667998 -71.5939736869127",1.24.1-4
1.24.1.85,"-16.4472626300948 -71.5938756630944",1.24.1-4
1.24.1.86,"-16.4473972646290 -71.5938736385303",1.24.1-4
1.24.1.87,"-16.4474178993239 -71.5937384628342",1.24.1-4
1.24.1.88,"-16.4473056569969 -71.5937436621472",1.24.1-4
1.24.1.89,"-16.4473006209748 -71.5936738210172",1.24.1-4
1.24.1.90,"-16.4473057843519 -71.5936115714018",1.24.1-4
1.24.1.91,"-16.4473038277613 -71.5935534215149",1.24.1-4
1.24.1.92,"-16.4473264998141 -71.5934783440660",1.24.1-4
1.24.1.93,"-16.4473450771841 -71.5933777017243",1.24.1-4
1.24.1.94,"-16.4473523799348 -71.5932677183596",1.24.1-4
1.24.1.95,"-16.4473792328767 -71.5931819726869",1.24.1-4
1.24.1.96,"-16.4474139829868 -71.5930190532656",1.24.1-4
1.24.1.97,"-16.4475096998719 -71.5930997173777",1.24.1-4
1.24.1.98,"-16.4475996568176 -71.5934240769437",1.24.1-4
1.24.1.99,"-16.4467405379250 -71.5952387900902",1.24.1-5
1.24.1.100,"-16.4461956903289 -71.5950116415853",1.24.1-5
1.24.1.101,"-16.4462798590686 -71.5950041570634",1.24.1-5
1.24.1.102,"-16.4464252049156 -71.5950171063677",1.24.1-5
1.24.1.103,"-16.4465394012475 -71.5950153405541",1.24.1-5
1.24.1.104,"-16.4466493059937 -71.5950813912469",1.24.1-5
1.24.1.105,"-16.4467126540861 -71.5949485481920",1.24.1-5
1.24.1.106,"-16.4468008710515 -71.5948367194562",1.24.1-5
1.24.1.107,"-16.4468854296255 -71.5945534034821",1.24.1-5
1.24.1.108,"-16.4468865736522 -71.5944192830870",1.24.1-5
1.24.1.109,"-16.4468971444693 -71.5943037384493",1.24.1-5
1.24.1.110,"-16.4469651129288 -71.5942053581932",1.24.1-5
1.24.1.111,"-16.4469631847416 -71.5940916190947",1.24.1-5
1.24.1.112,"-16.4470415788015 -71.5936645263589",1.24.1-5
1.24.1.113,"-16.4470824555398 -71.5934272285688",1.24.1-5
1.24.1.114,"-16.4471531344097 -71.5931067396186",1.24.1-5
1.24.1.115,"-16.4471640842064 -71.5930104775090",1.24.1-5
1.24.1.116,"-16.4472159012654 -71.5929405307803",1.24.1-5
1.24.1.117,"-16.4472311324388 -71.5928308671625",1.24.1-5
1.24.1.118,"-16.4443396011493 -71.5926277553206",1.24.1-6
1.24.1.119,"-16.4430269327236 -71.5925332661081",1.24.1-6
1.24.1.120,"-16.4425425916023 -71.5928585528516",1.24.1-6
1.24.1.121,"-16.4433285345412 -71.5921448991195",1.24.1-7
1.24.1.122,"-16.4436017225748 -71.5922081013515",1.24.1-7
1.24.1.123,"-16.4445860389424 -71.5921820737440",1.24.1-7
1.24.1.124,"-16.4469971044138 -71.5924112898907",1.24.1-8
1.24.1.125,"-16.4472308296992 -71.5924896485254",1.24.1-8
1.24.1.126,"-16.4472287806231 -71.5923843766076",1.24.1-8
1.24.1.127,"-16.4472266824874 -71.5922709165232",1.24.1-8
1.24.1.128,"-16.4472566019517 -71.5922003479225",1.24.1-8
1.24.1.129,"-16.4472615180540 -71.5921091469064",1.24.1-8
1.24.1.130,"-16.4472544841332 -71.5920361825202",1.24.1-8
1.24.1.131,"-16.4472643232630 -71.5919273245127",1.24.1-8
1.24.1.132,"-16.4472841638891 -71.5916735045607",1.24.1-8
1.24.1.133,"-16.4473059957423 -71.5915172668086",1.24.1-8
1.24.1.134,"-16.4473188724174 -71.5913811901363",1.24.1-8
1.24.1.135,"-16.4472974114686 -71.5912284190718",1.24.1-8
1.24.1.136,"-16.4474038218304 -71.5909640050247",1.24.1-9
1.24.1.137,"-16.4474160161343 -71.5909110536572",1.24.1-9
1.24.1.138,"-16.4474303703113 -71.5908434266935",1.24.1-9
1.24.1.139,"-16.4474374433508 -71.5907891055138",1.24.1-9
1.24.1.140,"-16.4474292128309 -71.5906963674137",1.24.1-9
1.24.1.141,"-16.4474345686971 -71.5905722629273",1.24.1-9
1.24.1.142,"-16.4474491570370 -71.5904522646222",1.24.1-9
1.24.1.143,"-16.4474230308621 -71.5903132546342",1.24.1-9
1.24.1.144,"-16.4474502814879 -71.5901861736082",1.24.1-9
1.24.1.145,"-16.4474554274014 -71.5900768645397",1.24.1-9
1.24.1.146,"-16.4474770444919 -71.5899641748546",1.24.1-9
1.24.1.147,"-16.4475033619599 -71.5898515262028",1.24.1-9
1.24.1.148,"-16.4475049992501 -71.5897622968918",1.24.1-9
1.24.1.149,"-16.4475141723352 -71.5896555573170",1.24.1-9
1.24.1.150,"-16.4475196512757 -71.5895291665004",1.24.1-9
1.24.1.151,"-16.4475572221915 -71.5893736495585",1.24.1-9
1.24.1.152,"-16.4477698104473 -71.5900723584694",1.24.1-10
1.24.1.153,"-16.4477410406050 -71.5898088566942",1.24.1-10
1.24.1.154,"-16.4477558981533 -71.5897457667948",1.24.1-10
1.24.1.155,"-16.4477578359189 -71.5896709085338",1.24.1-10
1.24.1.156,"-16.4477739574169 -71.5895857966738",1.24.1-10
1.24.1.157,"-16.4477871282460 -71.5895053336795",1.24.1-10
1.24.1.158,"-16.4477873308104 -71.5894368902141",1.24.1-10
1.24.1.159,"-16.4478162813332 -71.5893345259389",1.24.1-10
1.24.1.160,"-16.4480440556467 -71.5895601163434",1.24.1-10
1.24.1.161,"-16.4482646314597 -71.5899157399519",1.24.1-11
1.24.1.162,"-16.4484577810906 -71.5898200055936",1.24.1-11
1.24.1.163,"-16.4485635033461 -71.5898449942049",1.24.1-11
1.24.1.164,"-16.4486323163541 -71.5898759000270",1.24.1-11
1.24.1.165,"-16.4487507286075 -71.5898688120057",1.24.1-11
1.24.1.166,"-16.4487974426571 -71.5898827152845",1.24.1-11
1.24.1.167,"-16.4488737612216 -71.5899065790706",1.24.1-11
