type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.1.1-12,-16.38806123120668,-71.52200129373539,-16.3880612312067,-71.5220012937354,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38794338343481,-71.52164901997023,-16.3879433834348,-71.5216490199702,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38791364311232,-71.52148679820427,-16.3879136431123,-71.5214867982043,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38758349415632,-71.52101122922096,-16.3875834941563,-71.521011229221,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38740808955551,-71.52087276241566,-16.3874080895555,-71.5208727624157,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38691377736011,-71.52059993999694,-16.3869137773601,-71.5205999399969,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38654321992102,-71.52032768353135,-16.386543219921,-71.5203276835313,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38611830208418,-71.51987830193627,-16.3861183020842,-71.5198783019363,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38597742070733,-71.51996688189666,-16.3859774207073,-71.5199668818967,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38609078606335,-71.52013972095644,-16.3860907860633,-71.5201397209564,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38621183498412,-71.52030351850927,-16.3862118349841,-71.5203035185093,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38637249265743,-71.52049064349448,-16.3863724926574,-71.5204906434945,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38654866683085,-71.52060315597586,-16.3865486668308,-71.5206031559758,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38671593707043,-71.52064205065747,-16.3867159370704,-71.5206420506575,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38701440855661,-71.52075923292885,-16.3870144085566,-71.5207592329288,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38726163963927,-71.52092313153385,-16.3872616396393,-71.5209231315338,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38748338307645,-71.52109307275704,-16.3874833830765,-71.521093072757,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.3875445102179,-71.52121761353719,-16.3875445102179,-71.5212176135372,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38764332177395,-71.52137964197269,-16.3876433217739,-71.5213796419727,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38768115683504,-71.52151956512013,-16.387681156835,-71.5215195651201,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38768107749241,-71.52171587791345,-16.3876810774924,-71.5217158779134,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38760070078824,-71.52198326031477,-16.3876007007882,-71.5219832603148,False, , ,0, , , , , , 
TRACK,1.1.1-12,-16.38810043221002,-71.52229984186796,-16.38810043221,-71.5222998418679,False, , ,0, , , , , , 
TRACK,1.1.1-13, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-13,-16.38630707878501,-71.52048333617026,-16.386307078785,-71.5204833361702,False, , ,0, , , , , , 
TRACK,1.1.1-13,-16.38593497561153,-71.52000346739426,-16.3859349756115,-71.5200034673943,False, , ,0, , , , , , 
TRACK,1.1.1-13,-16.38519334334863,-71.52062714152731,-16.3851933433486,-71.5206271415273,False, , ,0, , , , , , 
TRACK,1.1.1-13,-16.38585416430767,-71.52084873230204,-16.3858541643077,-71.520848732302,False, , ,0, , , , , , 
TRACK,1.1.1-14, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-14,-16.38763321938945,-71.52167900867214,-16.3876332193895,-71.5216790086721,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38764255596312,-71.52153320695999,-16.3876425559631,-71.52153320696,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38759333536904,-71.52136425490238,-16.387593335369,-71.5213642549024,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38746932838914,-71.52114242701747,-16.3874693283891,-71.5211424270175,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38716494722452,-71.52091082036283,-16.3871649472245,-71.5209108203628,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38694578106954,-71.5207742406333,-16.3869457810695,-71.5207742406333,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38668824834909,-71.52069118706109,-16.3866882483491,-71.5206911870611,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38636029407998,-71.52053031468093,-16.38636029408,-71.5205303146809,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38593909117592,-71.52087605572734,-16.3859390911759,-71.5208760557273,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38632296341625,-71.52101720493781,-16.3863229634163,-71.5210172049378,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38677483718827,-71.52120191701705,-16.3867748371883,-71.521201917017,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38704485739964,-71.52143582086012,-16.3870448573996,-71.5214358208601,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38747660322646,-71.52182004187046,-16.3874766032265,-71.5218200418705,False, , ,0, , , , , , 
TRACK,1.1.1-14,-16.38757917692003,-71.52190385353964,-16.38757917692,-71.5219038535396,False, , ,0, , , , , , 
TRACK,1.1.1-15, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-15,-16.3869197770095,-71.52148775513167,-16.3869197770095,-71.5214877551317,False, , ,0, , , , , , 
TRACK,1.1.1-15,-16.38664770119737,-71.52123288541277,-16.3866477011974,-71.5212328854128,False, , ,0, , , , , , 
TRACK,1.1.1-15,-16.38594842188243,-71.52181394400023,-16.3859484218824,-71.5218139440002,False, , ,0, , , , , , 
TRACK,1.1.1-15,-16.38609971688494,-71.52202019468102,-16.3860997168849,-71.522020194681,False, , ,0, , , , , , 
TRACK,1.1.1-15,-16.38635316294808,-71.52235371911176,-16.3863531629481,-71.5223537191117,False, , ,0, , , , , , 
TRACK,1.1.1-15,-16.38714914224746,-71.52172284030094,-16.3871491422475,-71.5217228403009,False, , ,0, , , , , , 
TRACK,1.1.1-16, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-16,-16.38633068054341,-71.52110555839711,-16.3863306805434,-71.5211055583971,False, , ,0, , , , , , 
TRACK,1.1.1-16,-16.38589452529379,-71.52096982272084,-16.3858945252938,-71.5209698227208,False, , ,0, , , , , , 
TRACK,1.1.1-16,-16.38521525833205,-71.52070869429768,-16.385215258332,-71.5207086942977,False, , ,0, , , , , , 
TRACK,1.1.1-16,-16.38515621037139,-71.52074876963789,-16.3851562103714,-71.5207487696379,False, , ,0, , , , , , 
TRACK,1.1.1-16,-16.38555757914219,-71.52126848335693,-16.3855575791422,-71.5212684833569,False, , ,0, , , , , , 
TRACK,1.1.1-16,-16.38591392801003,-71.52176534763802,-16.38591392801,-71.521765347638,False, , ,0, , , , , , 
TRACK,1.1.1-16,-16.38656613498296,-71.52122182163652,-16.386566134983,-71.5212218216365,False, , ,0, , , , , , 
TRACK,1.1.1-17, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-17,-16.38548667958098,-71.51983911486641,-16.385486679581,-71.5198391148664,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.38534822658701,-71.51995823824062,-16.385348226587,-71.5199582382406,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.38520751088021,-71.51976553426823,-16.3852075108802,-71.5197655342682,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.38497970642,-71.51946423324615,-16.38497970642,-71.5194642332461,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.38462425720035,-71.51895524128861,-16.3846242572003,-71.5189552412886,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.384142636134,-71.51934928902053,-16.384142636134,-71.5193492890205,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.38421880384496,-71.51945176303369,-16.384218803845,-71.5194517630337,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.38439315672625,-71.51968784197075,-16.3843931567263,-71.5196878419707,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.38461377279758,-71.51997036889446,-16.3846137727976,-71.5199703688944,False, , ,0, , , , , , 
TRACK,1.1.1-17,-16.3848231761753,-71.52023648016822,-16.3848231761753,-71.5202364801682,False, , ,0, , , , , , 
